BENCH,FAR,FAIL-JOB,ExpName,FailedJobDuration,
GMM,TRUE,1,GMM_true_1_14g,50.81900001,
GMM,TRUE,2,GMM_true_2_14g,51.29299998,
GMM,TRUE,3,GMM_true_3_14g,66.66400003,
GMM,TRUE,4,GMM_true_4_14g,55.87100005,
GMM,TRUE,5,GMM_true_5_14g,58.78699994,
GMM,TRUE,6,GMM_true_6_14g,46.61500001,
GMM,TRUE,7,GMM_true_7_14g,65.77600002,
GMM,TRUE,8,GMM_true_8_14g,67.04799986,
GMM,TRUE,9,GMM_true_9_14g,73.86899996,
GMM,TRUE,10,GMM_true_10_14g,59.1099999,
GMM,TRUE,11,GMM_true_11_14g,80.16899991,
GMM,TRUE,12,GMM_true_12_14g,79.13699985,
GMM,TRUE,13,GMM_true_13_14g,74,
GMM,TRUE,14,GMM_true_14_14g,74,
GMM,TRUE,15,GMM_true_15_14g,73.29700017,
GMM,TRUE,16,GMM_true_16_14g,71.42199993,
GMM,TRUE,17,GMM_true_17_14g,95.20799994,
GMM,TRUE,18,GMM_true_18_14g,81.17000008,
GMM,TRUE,19,GMM_true_19_14g,103.0039999,
GMM,TRUE,20,GMM_true_20_14g,94.90799999,
GMM,FALSE,1,GMM_false_1_14g,48.05500007,
GMM,FALSE,2,GMM_false_2_14g,43.69899988,
GMM,FALSE,3,GMM_false_3_14g,41.90499997,
GMM,FALSE,4,GMM_false_4_14g,42.9059999,
GMM,FALSE,5,GMM_false_5_14g,69.71600008,
GMM,FALSE,6,GMM_false_6_14g,74.14700007,
GMM,FALSE,7,GMM_false_7_14g,78.41100001,
GMM,FALSE,8,GMM_false_8_14g,134.6729999,
GMM,FALSE,9,GMM_false_9_14g,217.9490001,
GMM,FALSE,10,GMM_false_10_14g,328.734,
GMM,FALSE,11,GMM_false_11_14g,584.2940001,
GMM,FALSE,12,GMM_false_12_14g,1086.022,
GMM,FALSE,13,GMM_false_13_14g,2086.151,
GMM,FALSE,14,GMM_false_14_14g,TIMEOUT,
GMM,FALSE,15,GMM_false_15_14g,TIMEOUT,