BENCH,FAR,FAIL-JOB,ExpName,FailedJobDuration
PR,TRUE,1,PR_true_1_14g,47.47199988
PR,TRUE,2,PR_true_2_14g,29.98600006
PR,TRUE,3,PR_true_3_14g,21.69799995
PR,TRUE,4,PR_true_4_14g,38.01799989
PR,TRUE,5,PR_true_5_14g,32.34700012
PR,TRUE,6,PR_true_6_14g,32.14199996
PR,TRUE,7,PR_true_7_14g,33.43400002
PR,TRUE,8,PR_true_8_14g,36.57200003
PR,TRUE,9,PR_true_9_14g,31.28600001
PR,TRUE,10,PR_true_10_14g,30.98399997
PR,TRUE,11,PR_true_11_14g,38.92900014
PR,TRUE,12,PR_true_12_14g,41.96199989
PR,TRUE,13,PR_true_13_14g,36.86899996
PR,TRUE,14,PR_true_14_14g,47.15999985
PR,TRUE,15,PR_true_15_14g,42.15499997
PR,TRUE,16,PR_true_16_14g,38.53299999
PR,TRUE,17,PR_true_17_14g,45.58800006
PR,TRUE,18,PR_true_18_14g,45.80900002
PR,TRUE,19,PR_true_19_14g,41.09100008
PR,TRUE,20,PR_true_20_14g,48.15899992
PR,FALSE,1,PR_false_1_14g,47.296
PR,FALSE,2,PR_false_2_14g,35.61800003
PR,FALSE,3,PR_false_3_14g,33.05500007
PR,FALSE,4,PR_false_4_14g,33.94899988
PR,FALSE,5,PR_false_5_14g,36.27900004
PR,FALSE,6,PR_false_6_14g,47.8829999
PR,FALSE,7,PR_false_7_14g,164.0109999
PR,FALSE,8,PR_false_8_14g,110.8280001
PR,FALSE,9,PR_false_9_14g,169.7079999
PR,FALSE,10,PR_false_10_14g,302.2700002
PR,FALSE,11,PR_false_11_14g,614.832
PR,FALSE,12,PR_false_12_14g,1228.777
PR,FALSE,13,PR_false_13_14g,1952.182
PR,FALSE,14,PR_false_14_14g,TIMEOUT
PR,FALSE,15,PR_false_15_14g,TIMEOUT