BENCH,FAR,MEM,ExpName,Duration(ms),Duration(s),Avg. Eva. Freq,,,
BFS,FALSE,8,BFS_false_0_8g,256630,257,1.01,,,
BFS,FALSE,7,BFS_false_0_7g,254717,255,1.01,,,
BFS,FALSE,6,BFS_false_0_6g,264715,265,1.01,,,
BFS,FALSE,5,BFS_false_0_5g,272523,273,1.01,,,
BFS,FALSE,4,BFS_false_0_4g,285529,286,1.03,,,
BFS,FALSE,3,BFS_false_0_3g,TIMEOUT,TIMEOUT,52.55,,,
BFS,FALSE,2,BFS_false_0_2g,TIMEOUT,TIMEOUT,52.83,,,
BFS,TRUE,8,BFS_true_0_8g,251341,251,1.01,,,
BFS,TRUE,7,BFS_true_0_7g,251607,252,1.01,,,
BFS,TRUE,6,BFS_true_0_6g,266683,267,1.01,,,
BFS,TRUE,5,BFS_true_0_5g,273636,274,1.01,,,
BFS,TRUE,4,BFS_true_0_4g,295916,296,1.03,,,
BFS,TRUE,3,BFS_true_0_3g,1236174,1236,3.14,,,
BFS,TRUE,2,BFS_true_0_2g,3027098,3027,3.52,,,
CC,FALSE,8,CC_false_0_8g,183147,183,1.01,,,
CC,FALSE,7,CC_false_0_7g,183350,183,1.01,,,
CC,FALSE,6,CC_false_0_6g,184771,185,1.01,,,
CC,FALSE,5,CC_false_0_5g,194486,194,1.01,,,
CC,FALSE,4,CC_false_0_4g,213634,214,1.03,,,
CC,FALSE,3,CC_false_0_3g,TIMEOUT,TIMEOUT,52.54,,,
CC,FALSE,2,CC_false_0_2g,TIMEOUT,TIMEOUT,52.82,,,
CC,TRUE,8,CC_true_0_8g,184169,184,1.01,,,
CC,TRUE,7,CC_true_0_7g,182725,183,1.01,,,
CC,TRUE,6,CC_true_0_6g,182426,182,1.01,,,
CC,TRUE,5,CC_true_0_5g,196789,197,1.01,,,
CC,TRUE,4,CC_true_0_4g,212811,213,1.03,,,
CC,TRUE,3,CC_true_0_3g,1132791,1133,3.14,,,
CC,TRUE,2,CC_true_0_2g,2217427,2217,3.50,,,
GMM,FALSE,8,GMM_false_0_8g,503931,504,1.01,,,
GMM,FALSE,7,GMM_false_0_7g,479682,480,1.01,,,
GMM,FALSE,6,GMM_false_0_6g,482028,482,1.01,,,
GMM,FALSE,5,GMM_false_0_5g,522227,522,1.02,,,
GMM,FALSE,4,GMM_false_0_4g,TIMEOUT,TIMEOUT,29.06,,,
GMM,FALSE,3,GMM_false_0_3g,TIMEOUT,TIMEOUT,29.32,,,
GMM,FALSE,2,GMM_false_0_2g,TIMEOUT,TIMEOUT,17.92,,,
GMM,TRUE,8,GMM_true_0_8g,520189,520,1.01,,,
GMM,TRUE,7,GMM_true_0_7g,487183,487,1.01,,,
GMM,TRUE,6,GMM_true_0_6g,486033,486,1.01,,,
GMM,TRUE,5,GMM_true_0_5g,522111,522,1.02,,,
GMM,TRUE,4,GMM_true_0_4g,1867602,1868,3.18,,,
GMM,TRUE,3,GMM_true_0_3g,2135989,2136,3.50,,,
GMM,TRUE,2,GMM_true_0_2g,TIMEOUT,TIMEOUT,3.45,,,
PR,FALSE,8,PR_false_0_8g,204914,205,1.01,,,
PR,FALSE,7,PR_false_0_7g,199941,200,1.01,,,
PR,FALSE,6,PR_false_0_6g,198950,199,1.01,,,
PR,FALSE,5,PR_false_0_5g,195983,196,1.02,,,
PR,FALSE,4,PR_false_0_4g,244069,244,1.09,,,
PR,FALSE,3,PR_false_0_3g,TIMEOUT,TIMEOUT,70.79,,,
PR,FALSE,2,PR_false_0_2g,TIMEOUT,TIMEOUT,10.60,,,
PR,TRUE,8,PR_true_0_8g,204941,205,1.00,,,
PR,TRUE,7,PR_true_0_7g,197862,198,1.00,,,
PR,TRUE,6,PR_true_0_6g,213398,213,1.03,,,
PR,TRUE,5,PR_true_0_5g,221305,221,1.04,,,
PR,TRUE,4,PR_true_0_4g,247705,248,1.04,,,
PR,TRUE,3,PR_true_0_3g,1794090,1794,7.38,,,
PR,TRUE,2,PR_true_0_2g,2701721,2702,6.55,,,
SP,FALSE,8,SP_false_0_8g,158909,159,1.01,,,
SP,FALSE,7,SP_false_0_7g,166415,166,1.01,,,
SP,FALSE,6,SP_false_0_6g,160741,161,1.01,,,
SP,FALSE,5,SP_false_0_5g,166305,166,1.01,,,
SP,FALSE,4,SP_false_0_4g,265656,266,1.02,,,
SP,FALSE,3,SP_false_0_3g,TIMEOUT,TIMEOUT,184.20,,,
SP,FALSE,2,SP_false_0_2g,TIMEOUT,TIMEOUT,98.87,,,
SP,TRUE,8,SP_true_0_8g,161661,162,1.01,,,
SP,TRUE,7,SP_true_0_7g,167930,168,1.01,,,
SP,TRUE,6,SP_true_0_6g,159984,160,1.01,,,
SP,TRUE,5,SP_true_0_5g,166587,167,1.01,,,
SP,TRUE,4,SP_true_0_4g,265648,266,1.02,,,
SP,TRUE,3,SP_true_0_3g,1324967,1325,3.01,,,
SP,TRUE,2,SP_true_0_2g,2306295,2306,3.60,,,
SVD,FALSE,8,SVD_false_0_8g,340111,340,1.01,,,
SVD,FALSE,7,SVD_false_0_7g,347489,347,1.01,,,
SVD,FALSE,6,SVD_false_0_6g,353480,353,1.01,,,
SVD,FALSE,5,SVD_false_0_5g,463993,464,1.01,,,
SVD,FALSE,4,SVD_false_0_4g,482955,483,1.01,,,
SVD,FALSE,3,SVD_false_0_3g,413374,413,1.01,,,
SVD,FALSE,2,SVD_false_0_2g,TIMEOUT,TIMEOUT,6.09,,,
SVD,TRUE,8,SVD_true_0_8g,344993,345,1.01,,,
SVD,TRUE,7,SVD_true_0_7g,349138,349,1.01,,,
SVD,TRUE,6,SVD_true_0_6g,380500,381,1.01,,,
SVD,TRUE,5,SVD_true_0_5g,401060,401,1.01,,,
SVD,TRUE,4,SVD_true_0_4g,400944,401,1.01,,,
SVD,TRUE,3,SVD_true_0_3g,383888,384,1.01,,,
SVD,TRUE,2,SVD_true_0_2g,439583,440,1.02,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,